가락시장(340)
가락시장(8)
가산디지털단지(7)
강남(222)
강남구청
강동
강동구청
강변(214)
개롱
개화산
거여
건대입구(212)
건대입구(7)
경복궁(317)
경찰병원(341)
고덕
고려대
고속터미널(329)
고속터미널(7)
공덕(5)
공덕(6)
공릉
광나루
광명사거리
광화문
광흥창
교대(223)
교대(330)
구로디지털단지(232)
구산
구의(213)
구파발(310)
군자(5)
군자(7)
굽은다리
금호(324)
길동
길음(417)
김포공항(5)
까치산(5)
낙성대(227)
남구로
남부터미널(331)
남성
남태령(434)
남한산성입구
내방
노원(411)
노원(7)
녹번(313)
녹사평
논현
단대오거리
답십리
당고개(409)
당산(237)
대림(233)
대림(7)
대청(337)
대치(335)
대흥
도곡(334)
도림천(247)
도봉산(7)
독립문(316)
독바위
돌곶이
동대문(155)
동대문(421)
동대문역사문화공원(205)
동대문역사문화공원(422)
동대문역사문화공원5
동대입구(322)
동묘앞(159)
동묘앞(6)
동작(431)
둔촌동
디지털미디어시티(6)
뚝섬(210)
뚝섬유원지
마곡
마들
마장
마천
마포
마포구청
망원
매봉(333)
먹골
면목
명동(424)
명일
모란(8)
목동
몽촌토성
무악재(315)
문래(235)
문정
미아(415)
미아삼거리(416)
반포
발산
방배(225)
방이
방화
버티고개
보라매
보문
복정(8)
봉천(229)
봉화산
불광(312)
불광(6)
사가정
사당(226)
사당(433)
산성
삼각지(428)
삼각지(6)
삼성(219)
상계(410)
상도
상봉(7)
상수
상왕십리(207)
상월곡
상일동
새절
서대문
서울대입구(228)
서울역(150)
서울역(426)
서초(224)
석계(6)
석촌
선릉(220)
성수(211)
성신여대입구(418)
송정
송파
수락산
수서(339)
수유(414)
수진
숙대입구(427)
숭실대입구
시청(151)
시청(201)
신금호
신길(5)
신답(245)
신당(206)
신당(6)
신대방(231)
신대방삼거리
신도림(234)
신림(230)
신사(327)
신설동(156)
신설동(246)
신용산(429)
신정
신정네거리(249)
신천(217)
신촌(240)
신풍
신흥
쌍문(413)
아차산
아현(242)
안국(318)
안암
암사
압구정(326)
애오개
약수(323)
약수(6)
양재(332)
양천구청(248)
양평(5)
어린이대공원
여의나루
여의도(5)
역삼(221)
역촌
연신내(311)
영등포구청(236)
영등포구청(5)
영등포시장
오금
오금(342)
오목교
옥수(325)
온수(7)
올림픽공원
왕십리(208)
왕십리(5)
용답(244)
용두(250)
용마산
우장산
월곡
월드컵경기장
을지로3가(203)
을지로3가(320)
을지로4가(204)
을지로4가(5)
을지로입구(202)
응암
이대(241)
이수(7)
이촌(430)
이태원
일원(338)
잠실(216)
잠실(8)
잠실나루(215)
잠원(328)
장승배기
장암
장지
장한평
제기동(157)
종각(152)
종로3가(153)
종로3가(319)
종로3가(5)
종로5가(154)
종합운동장(218)
중계
중곡
중화
증산
지축(309)
창동(412)
창신
천왕
천호(5)
천호(8)
철산
청구(5)
청구(6)
청담
청량리(지하)(158)
총신대입구(432)
충무로(423)
충정로(243)
충정로(5)
태릉입구(6)
태릉입구(7)
하계
학동
학여울(336)
한강진
한성대입구(419)
한양대(209)
합정(238)
합정(6)
행당
혜화(420)
홍대입구(239)
홍제(314)
화곡
화랑대
회현(425)
효창공원앞
부평구청(7)
신중동
상동
굴포천
까치울
부천시청
부천종합운동장
삼산체육관
춘의
미아사거리(416)
수유(강북구청)(414)
왕십리(성동구청)(208)
